GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring AI Agentic Chatbot,com.agenticai.chatbot,ChatbotApplication,0,8,0,0,0,3,0,2,0,2
Spring AI Agentic Chatbot,com.agenticai.chatbot.service,ChatService,17,422,0,70,1,74,2,47,2,12
Spring AI Agentic Chatbot,com.agenticai.chatbot.model.auth,AuthModels.LoginRequest,0,9,0,0,0,1,0,1,0,1
Spring AI Agentic Chatbot,com.agenticai.chatbot.model.auth,AuthModels.AuthResponse,0,35,0,0,0,3,0,2,0,2
Spring AI Agentic Chatbot,com.agenticai.chatbot.model.auth,AuthModels.RegisterRequest,0,15,0,0,0,1,0,1,0,1
Spring AI Agentic Chatbot,com.agenticai.chatbot.model.auth,AuthModels.RefreshTokenRequest,0,6,0,0,0,1,0,1,0,1
Spring AI Agentic Chatbot,com.agenticai.chatbot.model.auth,AuthModels.UserInfoResponse,0,15,0,0,0,1,0,1,0,1
Spring AI Agentic Chatbot,com.agenticai.chatbot.security.filter,JwtAuthenticationFilter,0,192,0,20,0,36,0,13,0,3
Spring AI Agentic Chatbot,com.agenticai.chatbot.security.service,UserStore,4,81,2,2,0,19,2,6,0,6
Spring AI Agentic Chatbot,com.agenticai.chatbot.security.service,ChatbotUserDetailsService,0,64,0,2,0,17,0,6,0,5
Spring AI Agentic Chatbot,com.agenticai.chatbot.security.util,JwtUtil,22,176,1,3,7,48,1,16,0,15
Spring AI Agentic Chatbot,com.agenticai.chatbot.config,ChatClientConfig,0,22,0,0,0,7,0,3,0,3
Spring AI Agentic Chatbot,com.agenticai.chatbot.config,OpenApiConfig,0,203,0,0,0,47,0,2,0,2
Spring AI Agentic Chatbot,com.agenticai.chatbot.config,SecurityConfig,0,321,0,0,0,52,0,11,0,11
Spring AI Agentic Chatbot,com.agenticai.chatbot.config,PasswordConfig,0,7,0,0,0,2,0,2,0,2
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatException.ResourceNotFoundException,0,6,0,0,0,2,0,1,0,1
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatException,3,0,0,0,1,0,1,0,1,0
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatModels.ProductInfoResponse,0,21,0,0,0,1,0,1,0,1
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ApiResponse,0,222,0,0,0,26,0,15,0,15
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatException.AiTimeoutException,0,8,0,0,0,2,0,2,0,2
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatModels.CalculatorResponse,0,9,0,0,0,1,0,1,0,1
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatModels.OrderTrackingResponse,0,21,0,0,0,1,0,1,0,1
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatModels.HealthResponse,0,23,0,0,0,2,0,2,0,2
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ApiResponse.ApiError,0,9,0,0,0,1,0,1,0,1
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatModels.WeatherResponse,0,21,0,0,0,1,0,1,0,1
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatModels.SessionClearResponse,0,24,0,0,0,3,0,2,0,2
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatException.RateLimitException,0,8,0,0,0,2,0,2,0,2
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatException.UnprocessableException,0,4,0,0,0,1,0,1,0,1
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatException.AiApiException,0,9,0,0,0,2,0,2,0,2
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatModels.ChatRequest,0,12,0,0,0,1,0,1,0,1
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatException.BadRequestException,0,4,0,0,0,1,0,1,0,1
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatModels.ChatReply,0,27,0,0,0,2,0,2,0,2
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatException.ServiceUnavailableException,0,4,0,0,0,1,0,1,0,1
Spring AI Agentic Chatbot,com.agenticai.chatbot.model,ChatException.ChatBaseException,0,9,0,0,0,2,0,2,0,2
Spring AI Agentic Chatbot,com.agenticai.chatbot.advisor,GlobalExceptionHandler,0,340,0,2,0,63,0,20,0,19
Spring AI Agentic Chatbot,com.agenticai.chatbot.controller,ChatController,0,64,0,0,0,16,0,7,0,7
Spring AI Agentic Chatbot,com.agenticai.chatbot.controller,AuthController,0,241,1,9,0,56,1,10,0,6
Spring AI Agentic Chatbot,com.agenticai.chatbot.tools,OrderTrackingTool,0,111,0,4,0,16,0,5,0,3
Spring AI Agentic Chatbot,com.agenticai.chatbot.tools,CalculatorTool,13,55,0,6,3,11,0,6,0,3
Spring AI Agentic Chatbot,com.agenticai.chatbot.tools,WeatherTool,0,255,0,6,0,19,0,6,0,3
Spring AI Agentic Chatbot,com.agenticai.chatbot.tools,ProductInfoTool,0,91,0,4,0,9,0,5,0,3
